enzyme_idx,string_id,uniprot_id
473,3847.A0A0R0JFP1,A0A0R0JFP1
474,3847.A0A0R0JH94,A0A0R0JH94
475,3847.A0A0R0JHS0,A0A0R0JHS0
476,3847.A0A0R0JI04,A0A0R0JI04
477,3847.A0A0R0JI69,A0A0R0JI69
478,3847.A0A0R0JI99,A0A0R0JI99
479,3847.A0A0R0JIE5,A0A0R0JIE5
480,3847.A0A0R0JIK3,A0A0R0JIK3
481,3847.A0A0R0JIU6,A0A0R0JIU6
482,3847.A0A0R0JLQ5,A0A0R0JLQ5
483,3847.A0A0R0JLV0,A0A0R0JLV0
484,3847.A0A0R0JMI0,A0A0R0JMI0
485,3847.A0A0R0JMP6,A0A0R0JMP6
486,3847.A0A0R0JMR6,A0A0R0JMR6
487,3847.A0A0R0JNC2,A0A0R0JNC2
488,3847.A0A0R0JNE0,A0A0R0JNE0
489,3847.A0A0R0JNR8,A0A0R0JNR8
490,3847.A0A0R0JP47,A0A0R0JP47
491,3847.A0A0R0JPH2,A0A0R0JPH2
492,3847.A0A0R0JPU0,A0A0R0JPU0
493,3847.A0A0R0JQV4,A0A0R0JQV4
494,3847.A0A0R0JR20,A0A0R0JR20
495,3847.A0A0R0JRA3,A0A0R0JRA3
496,3847.A0A0R0JRI6,A0A0R0JRI6
497,3847.A0A0R0JRS6,A0A0R0JRS6
498,3847.A0A0R0JT16,A0A0R0JT16
499,3847.A0A0R0JT94,A0A0R0JT94
500,3847.A0A0R0JTF7,A0A0R0JTF7
501,3847.A0A0R0JTG6,A0A0R0JTG6
502,3847.A0A0R0JTX0,A0A0R0JTX0
503,3847.A0A0R0JUD4,A0A0R0JUD4
504,3847.A0A0R0JUM5,A0A0R0JUM5
505,3847.A0A0R0JV24,A0A0R0JV24
506,3847.A0A0R0JVB4,A0A0R0JVB4
507,3847.A0A0R0JW59,A0A0R0JW59
508,3847.A0A0R0JWS8,A0A0R0JWS8
509,3847.A0A0R0JXR1,A0A0R0JXR1
510,3847.A0A0R0JXU0,A0A0R0JXU0
511,3847.A0A0R0JY38,A0A0R0JY38
512,3847.A0A0R0JYF2,A0A0R0JYF2
513,3847.A0A0R0JYG7,A0A0R0JYG7
514,3847.A0A0R0JZ56,A0A0R0JZ56
515,3847.A0A0R0K0D1,A0A0R0K0D1
516,3847.A0A0R0K0E5,A0A0R0K0E5
517,3847.A0A0R0K0F5,A0A0R0K0F5
518,3847.A0A0R0K157,A0A0R0K157
519,3847.A0A0R0K1U3,A0A0R0K1U3
520,3847.A0A0R0K1V2,A0A0R0K1V2
